imdb.id,title.mixed,sample.year.first,fest.first,oscar_nominated
tt2838616,canção para minha irmã,2013,CLERMONT-FERRAND,0
tt2657412,dozhd idyot,2013,CLERMONT-FERRAND,0
tt1893227,elefante,2013,CLERMONT-FERRAND,0
tt2464710,anatomy of a departure,2013,BERLINALE,0
tt9121254,guang,2013,CLERMONT-FERRAND,0
tt2255861,kendo monogatari,2013,CLERMONT-FERRAND,0
tt2571100,kolmnurga afäär,2013,CLERMONT-FERRAND,0
tt2245274,kong peh tshat,2013,CLERMONT-FERRAND,0
tt2232340,koorsoo,2013,CLERMONT-FERRAND,0
tt2432248,man in pak,2013,CLERMONT-FERRAND,0
tt2520772,miniyamba,2013,CLERMONT-FERRAND,0
tt2254810,mou ikkai,2013,CLERMONT-FERRAND,0
tt2815564,na sua companhia,2013,CLERMONT-FERRAND,0
tt3006556,anatomy of assistance,2013,TIFF,0
tt2658366,la nuit de l'ours,2013,CLERMONT-FERRAND,0
tt2402446,par avion,2013,CLERMONT-FERRAND,0
tt2676220,para armar un helicóptero,2013,CLERMONT-FERRAND,0
