film.id,unique.id,sample.year,fest,fest.sect
f3179,1316,2013,TIFF,Contemporary World Cinema
f1046,1317,2013,BERLINALE,Berlinale Shorts
f3166,1318,2013,TIFF,Contemporary World Cinema
f3230,1319,2013,TIFF,City to City: Athens
f4069,132,2013,CLERMONT-FERRAND,International Competition
f3093,1320,2013,TIFF,Special Presentation
f1051,1323,2013,BERLINALE,Berlinale Shorts
f1224,1324,2013,BERLINALE,Generation
f1117,1325,2013,BERLINALE,Panorama
f1052,1326,2013,BERLINALE,Berlinale Shorts
f5219,1327,2013,FRAMELINE,US Features
f5220,1328,2013,FRAMELINE,"Centerpiece, Documentaries"
f4439,1329,2013,CLERMONT-FERRAND,Decibels
f2055,133,2013,CANNES,Cinéfondation
f3232,1330,2013,TIFF,Wavelength
f4172,1331,2013,CLERMONT-FERRAND,Lab Competition
f2011,1332,2013,CANNES,In Competition
f2102,1333,2013,CANNES,Cannes Classics - Restored Prints
f6269,1334,2013,IDFA,IDFA Paradocs
f1004,1335,2013,BERLINALE,Competition
f1200,1336,2013,BERLINALE,Forum Expanded
f4440,1337,2013,CLERMONT-FERRAND,Decibels
f5221,1338,2013,FRAMELINE,Shorts: Get Animated!
f1168,1339,2013,BERLINALE,Forum
f4377,134,2013,CLERMONT-FERRAND,Inde
f3073,1340,2013,TIFF,Special Presentation
f2103,1341,2013,CANNES,Cannes Classics - Restored Prints
f3060,1342,2013,TIFF,Special Presentation
f6271,1343,2013,IDFA,IDFA Music Documentary; IDFA DOC U Competition
f4135,1344,2013,CLERMONT-FERRAND,International Competition
f6272,1345,2013,IDFA,IDFA Competition for Mid-Length Documentary
f2060,1346,2013,CANNES,Cinéfondation
f3078,1347,2013,TIFF,Special Presentation
f4138,1348,2013,CLERMONT-FERRAND,International Competition
f6001,135,2013,IDFA,IDFA Competition for Feature-Length Documentary
f3231,1350,2013,TIFF,City to City: Athens
f1235,1351,2013,BERLINALE,Generation
f3036,1352,2013,TIFF,Special Presentation
f17349,1352,2014,BERLINALE,Berlinale Special
f5222,1353,2013,FRAMELINE,Shorts: Blood in the Grass
f3069,1354,2013,TIFF,Special Presentation
f3352,1355,2013,TIFF,Vanguard
f3295,1356,2013,TIFF,Short Cuts Canada
f4047,1357,2013,CLERMONT-FERRAND,"National Competition, Séance Scolaire"
f2053,1358,2013,CANNES,Special Screenings
f4139,1359,2013,CLERMONT-FERRAND,International Competition
f6002,136,2013,IDFA,IDFA Panorama Focus: Green Screen
f4441,1360,2013,CLERMONT-FERRAND,CANAL+
f2075,1361,2013,CANNES,Short Films
f1053,1362,2013,BERLINALE,Berlinale Shorts
f1143,1363,2013,BERLINALE,Forum
f3112,1364,2013,TIFF,Mavericks
f5223,1365,2013,FRAMELINE,Documentaries
f6273,1366,2013,IDFA,IDFA Music Documentary
f3155,1367,2013,TIFF,Contemporary World Cinema
f1144,1368,2013,BERLINALE,Forum
f1038,1369,2013,BERLINALE,Berlinale Shorts
f3234,137,2013,TIFF,Wavelength
f3216,1370,2013,TIFF,TIFF Docs
f5224,1371,2013,FRAMELINE,Documentaries
f6274,1372,2013,IDFA,IDFA Focus: Emerging Voices from Southeast Asia
f3165,1373,2013,TIFF,Contemporary World Cinema
f6275,1374,2013,IDFA,IDFA Competition for Student Documentary
f5226,1375,2013,FRAMELINE,Shorts: Transtastic!
f5227,1376,2013,FRAMELINE,US Features; First Feature Award
f6276,1377,2013,IDFA,IDFA Focus: Stand-Up Documentary
f3361,1378,2013,TIFF,Midnight Madness
f3223,1379,2013,TIFF,City to City: Athens
f5003,138,2013,FRAMELINE,Shorts: Fire We Make; Shorts: Fun in Boys Shorts
f5228,1380,2013,FRAMELINE,Shorts: Rats in Glitter
f4415,1381,2013,CLERMONT-FERRAND,Inde
f1261,1382,2013,BERLINALE,Generation
f3362,1383,2013,TIFF,Midnight Madness
f1154,1384,2013,BERLINALE,Forum
f4374,1385,2013,CLERMONT-FERRAND,Water Project
f3006,1386,2013,TIFF,Gala Presentation
f1119,1387,2013,BERLINALE,Panorama
f6279,1388,2013,IDFA,IDFA Focus: Emerging Voices from Southeast Asia
9168fnosuv,1389,2012,CANNES,in competition - short films
f1259,1389,2013,BERLINALE,Generation
f4174,139,2013,CLERMONT-FERRAND,Brèves Digitales
f5232,1390,2013,FRAMELINE,Shorts: Fun in Boys Shorts
f3303,1391,2013,TIFF,Short Cuts Canada
f1068,1392,2013,BERLINALE,Panorama
f3107,1393,2013,TIFF,Special Presentation
f16893,1394,2012,BERLINALE,Generation
f5233,1394,2013,FRAMELINE,World Cinema; First Feature Award
f3294,1395,2013,TIFF,Short Cuts Canada
f5234,1396,2013,FRAMELINE,Dive In Deep—QWOCMAP Shorts
f1120,1397,2013,BERLINALE,Panorama
f1201,1398,2013,BERLINALE,Forum Expanded
f1202,1399,2013,BERLINALE,Forum Expanded
f2001,14,2013,CANNES,In Competition
f3129,140,2013,TIFF,Discovery
f6280,1400,2013,IDFA,IDFA Competition for Student Documentary
f4416,1401,2013,CLERMONT-FERRAND,Inde
f6281,1402,2013,IDFA,IDFA Focus: Based on the Same Story
f3281,1403,2013,TIFF,TIFF Kids
f2045,1404,2013,CANNES,Out of Competition
f1275,1405,2013,BERLINALE,Perspektive Deutsches Kino
f1058,1406,2013,BERLINALE,Berlinale Special
f1092,1407,2013,BERLINALE,Panorama
f1128,1408,2013,BERLINALE,Forum
f1129,1409,2013,BERLINALE,Forum
f3353,141,2013,TIFF,Midnight Madness
f1131,1410,2013,BERLINALE,Forum
f1134,1411,2013,BERLINALE,Forum
f1161,1412,2013,BERLINALE,Forum
f1172,1413,2013,BERLINALE,Forum Expanded
f1173,1414,2013,BERLINALE,Forum Expanded
f1179,1415,2013,BERLINALE,Forum Expanded
f1187,1416,2013,BERLINALE,Forum Expanded
f1199,1417,2013,BERLINALE,Forum Expanded
f1203,1418,2013,BERLINALE,Generation
f1209,1419,2013,BERLINALE,Generation
f2039,142,2013,CANNES,Out of Competition
f1229,1420,2013,BERLINALE,Generation
f1230,1421,2013,BERLINALE,Generation
f1237,1422,2013,BERLINALE,Generation
f1239,1423,2013,BERLINALE,Generation
f1240,1424,2013,BERLINALE,Generation
f1245,1425,2013,BERLINALE,Generation
f1263,1426,2013,BERLINALE,Perspektive Deutsches Kino
f1272,1427,2013,BERLINALE,Perspektive Deutsches Kino
f1284,1428,2013,BERLINALE,Retrospective
f1288,1429,2013,BERLINALE,Retrospective
f3087,143,2013,TIFF,Special Presentation
f1289,1430,2013,BERLINALE,Retrospective
f1294,1431,2013,BERLINALE,Retrospective
f1295,1432,2013,BERLINALE,Retrospective
f1296,1433,2013,BERLINALE,Retrospective
f1299,1434,2013,BERLINALE,Retrospective
f1312,1435,2013,BERLINALE,Retrospective
f1316,1436,2013,BERLINALE,Homage
f1317,1437,2013,BERLINALE,Homage
f1351,1438,2013,BERLINALE,Culinary Cinema
f2029,1439,2013,CANNES,Un Certain Regard
f3117,144,2013,TIFF,Discovery
f2031,1440,2013,CANNES,Un Certain Regard
f2054,1441,2013,CANNES,Cinéfondation
f2058,1442,2013,CANNES,Cinéfondation
f2059,1443,2013,CANNES,Cinéfondation
f2077,1444,2013,CANNES,Short Films
f2078,1445,2013,CANNES,Short Films
f2080,1446,2013,CANNES,Cannes Classics - Tribute
f2108,1447,2013,CANNES,Cinéma De La Plage
f3235,1448,2013,TIFF,Wavelength
f3243,1449,2013,TIFF,Wavelength
f3358,145,2013,TIFF,Midnight Madness
f3245,1450,2013,TIFF,Wavelength
f3247,1451,2013,TIFF,Wavelength
f3264,1452,2013,TIFF,Wavelength
f3266,1453,2013,TIFF,Wavelength
f3268,1454,2013,TIFF,Wavelength
f3274,1455,2013,TIFF,Wavelength
f3277,1456,2013,TIFF,TIFF Kids
f3278,1457,2013,TIFF,TIFF Kids
f3280,1458,2013,TIFF,TIFF Kids
f3285,1459,2013,TIFF,Short Cuts Canada
f6004,146,2013,IDFA,IDFA Top10
f3286,1460,2013,TIFF,Short Cuts Canada
f3301,1461,2013,TIFF,Short Cuts Canada
f3307,1462,2013,TIFF,Short Cuts Canada
