film.id,unique.id,sample.year,fest,fest.sect,imdb.id,title.mixed,prod.year,length.min,length,prod.country.1.en,prod.country.2.en,prod.country.3.en,prod.country.4.en,prod.country.5.en,prod.country.6.en,prod.country.7.en,regions.mena,regions.africa,regions.asia,regions.na,regions.eu,regions.la,regions.ocean,director.1,director.2,director.3,director.4,director.5,director.6,director.7,director.8,director.9,director.10,director.11,director.12,director.13,director.14,director.15,director.16,director.17,director.18,director.19,director.20,director.21,director.22,director.23,director.24,director.25,director.26,animt,doc,exp,fict,lgbtq,imdb.fest,retro.fest.sect,competition,genre,fest.first,fest.sect.first,sample.year.first,fest.show.delay.3year.and.more
f5209,1040,2013,FRAMELINE,,,taboo,2011.0,8.0,40 min. or shorter,Austria,,,,,,,0,0,0,0,1,0,0,Chiara Grabmayr,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,LGBT*Q films,0,0,0,other documentary,FRAMELINE,,2013,0.0
f6245,1041,2013,IDFA,IDFA Paradocs: Amsterdam Art Weekend at IDFA,,tactica,2012.0,17.0,40 min. or shorter,Spain,,,,,,,0,0,0,0,1,0,0,Fernando Sanchez Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,0,0,0,other documentary,IDFA,IDFA Paradocs: Amsterdam Art Weekend at IDFA,2013,0.0
f6248,1042,2013,IDFA,IDFA Panorama,,temptation,2013.0,83.0,41 min. or longer,Belarus,,,,,,,0,0,0,0,1,0,0,Viktar Dashuk,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,0,0,0,other documentary,IDFA,IDFA Panorama,2013,0.0
f1337,1043,2013,BERLINALE,NATIVe - Indigenous Cinema,tt0466399,ten canoes,2006.0,90.0,41 min. or longer,Australia,,,,,,,0,0,0,0,0,0,1,Rolf de Heer,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,BERLINALE,NATIVe - Indigenous Cinema,2013,1.0
f4128,1044,2013,CLERMONT-FERRAND,International Competition,tt2327543,tender,2012.0,15.0,40 min. or shorter,Australia,,,,,,,0,0,0,0,0,0,1,Jessica Redenbach,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,1,other fiction,CLERMONT-FERRAND,International Competition,2013,0.0
f4061,1045,2013,CLERMONT-FERRAND,National Competition,tt2369186,tennis elbow,2012.0,17.0,40 min. or shorter,France,,,,,,,0,0,0,0,1,0,0,Vital Philippot,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,1,other fiction,CLERMONT-FERRAND,National Competition,2013,0.0
f4438,1046,2013,CLERMONT-FERRAND,Decibels,,tenniscoats - baibaba bimba,2012.0,7.0,40 min. or shorter,France,,,,,,,0,0,0,0,1,0,0,Colin Solal Cardo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,0,0,0,other fiction,CLERMONT-FERRAND,Decibels,2013,0.0
f5210,1047,2013,FRAMELINE,US Features,tt2407380,test,2013.0,89.0,41 min. or longer,United States,,,,,,,0,0,0,1,0,0,0,Chris Mason Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,1,0,0,other fiction,FRAMELINE,US Features,2013,0.0
f17308,1047,2014,BERLINALE,Panorama,tt2407380,test,2013.0,89.0,41 min. or longer,United States,,,,,,,0,0,0,1,0,0,0,Chris Mason Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,1,0,0,other fiction,FRAMELINE,US Features,2013,0.0
f2109,1048,2013,CANNES,Cinéma De La Plage,tt0058203,that man from rio,1963.0,112.0,41 min. or longer,France,,,,,,,0,0,0,0,1,0,0,Philippe de Broca,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,CANNES,Cinéma De La Plage,2013,1.0
f1127,1049,2013,BERLINALE,Forum,tt2635808,the 727 days without karamo,2013.0,80.0,41 min. or longer,Austria,,,,,,,0,0,0,0,1,0,0,Anja Salomonowitz,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,LGBT*Q films,1,0,0,other documentary,BERLINALE,Forum,2013,0.0
